"ballot_id","candidate_id","sort_order"
"32700031","3260005","1"
"32700031","3260009","2"
"32700031","3260013","3"
"32700041","3260004","1"
"32700041","3260015","2"
"32700041","3260017","3"
"32700051","3260002","1"
"32700051","3260006","2"
"32700051","3260010","3"
"32700061","3260001","1"
"32700061","3260011","2"
"32700071","3260007","1"
"32700071","3260008","2"
"32700071","3260012","3"
"32700081","3260000","1"
"32700081","3260016","2"
"32700081","3260018","3"
"32700091","3260014","1"
"32700101","3260003","1"
