"name","number","locality_id","ward","mail_only","ballot_style_image_url","id"
"302 - NEW STORE","0302","70014","","","","90000"
"104 - EAST","0104","70110","","","","90001"
"501 - OLDMILL","0501","70050","","","","90002"
"301 - GRIFFIS","0301","70085","","","","90003"
"401 - CARSLEY","0401","70086","","","","90004"
"607 - DRY FORK","0607","70068","","","","90005"
"406 - BARRON BLACK","0406","70118","","","","90006"
"010 - OSCAR SMITH","0010","70100","","","","90007"
"004 - WARD D","0004","70130","","","","90008"
"201 - 2A","0201","70066","","","","90009"
"117 - KECOUGHTAN","0117","70109","","","","90010"
"305 - SINAI","0305","70043","","","","90011"
"303 - WARDELL","0303","70088","","","","90012"
"020 - THRIFTON","0020","70006","","","","90013"
"842 - PARKWAY","0842","70028","","","","90014"
"001 - HIGHLAND 1","0001","70128","","","","90015"
"502 - FIGSBORO","0502","70046","","","","90016"
"212 - YORKSHIRE","0212","70072","","","","90017"
"101 - PRECINCT 1-1","0101","70020","","","","90018"
"504 - LEBANON CHURCH","0504","70081","","","","90019"
"505 - BOONSBORO ELEMENTARY SCHOOL","0505","70009","","","","90020"
"209 - POTOMAC FALLS","0209","70059","","","","90021"
"420 - VILLAGES","0420","70028","","","","90022"
"003 - THIRD","0003","70101","","","","90023"
"417 - GARFIELD","0417","70028","","","","90024"
"711 - GRAYSON","0711","70072","","","","90025"
"103 - GUEST RIVER VOTING PLACE","0103","70095","","","","90026"
"302 - NORTH GRUNDY","0302","70013","","","","90027"
"611 - NEABSCO","0611","70072","","","","90028"
"007 - GREENBRIER","0007","70100","","","","90029"
"402 - GENITO","0402","70018","","","","90030"
"304 - COOPER","0304","70028","","","","90031"
"302 - BRIARFIELD","0302","70117","","","","90032"
"039 - PEMBROKE","0039","70129","","","","90033"
"110 - DUTCH GAP","0110","70018","","","","90034"
"727 - OAKTON","0727","70028","","","","90035"
"504 - LARRYMORE","0504","70118","","","","90036"
"101 - HARCUM","0101","70038","","","","90037"
"510 - SYCAMORE","0510","70018","","","","90038"
"101 - PALMYRA","0101","70031","","","","90039"
"112 - FREEDOM","0112","70059","","","","90040"
"102 - CLARK","0102","70099","","","","90041"
"203 - NEWBERN","0203","70073","","","","90042"
"301 - HILLSVILLE C","0301","70019","","","","90043"
"044 - DAWSON TERRACE","0044","70006","","","","90044"
"050 - CRYSTAL PLAZA","0050","70006","","","","90045"
"502 - GLADEVILLE","0502","70019","","","","90046"
"102 - SALEM","0102","70038","","","","90047"
"301 - RUSHMERE","0301","70048","","","","90048"
"205 - DEEP CREEK","0205","70117","","","","90049"
"418 - LYNBROOK","0418","70028","","","","90050"
"901 - AVERETT","0901","70057","","","","90051"
"201 - BLUE RIDGE","0201","70011","","","","90052"
"052 - SHIPYARD ROAD","0052","70100","","","","90053"
"302 - RIVERTON","0302","70092","","","","90054"
"303 - MARSHALLS STORE","0303","70022","","","","90055"
"301 - REAMS","0301","70026","","","","90056"
"301 - CAUSEWAY","0301","70045","","","","90057"
"602 - GARDEN","0602","70013","","","","90058"
"102 - BLAYDES CORNER","0102","70084","","","","90059"
"105 - FANCY GAP","0105","70019","","","","90060"
"414 - ROLLINGWOOD","0414","70045","","","","90061"
"304 - JACKSON DAVIS","0304","70045","","","","90062"
"403 - OAKLAND D","0403","70019","","","","90063"
"307 - YELLOW MOUNTAIN","0307","70001","","","","90064"
"213 - COUNTRYSIDE","0213","70059","","","","90065"
"701 - BELMONT","0701","70072","","","","90066"
"003 - PIANKATANK","0003","70056","","","","90067"
"128 - CARDINAL","0128","70028","","","","90068"
"401 - MAYSVILLE","0401","70014","","","","90069"
"011 - WILLIAMSON ROAD 2","0011","70128","","","","90070"
"302 - HAZEL RUN","0302","70084","","","","90071"
"502 - BENTONVILLE","0502","70092","","","","90072"
"212 - PARK PLACE","0212","70118","","","","90073"
"903 - NINE HUNDRED THREE","0903","70127","","","","90074"
"102 - ASBURY","0102","70011","","","","90075"
"911 - NAVY","0911","70028","","","","90076"
"101 - ARRITT","0101","70002","","","","90077"
"201 - PRECINCT 2-1","0201","70094","","","","90078"
"002 - WESTVILLE","0002","70056","","","","90079"
"321 - CLEARVIEW","0321","70028","","","","90080"
"201 - PRECINCT 2-1","0201","70065","","","","90081"
"203 - BURBANK","0203","70109","","","","90082"
"102 - CITY HALL","0102","70098","","","","90083"
"908 - NINE HUNDRED EIGHT","0908","70127","","","","90084"
"707 - KILBY","0707","70072","","","","90085"
"202 - SOUTH MADISON","0202","70016","","","","90086"
"502 - FLINT HILL","0502","70074","","","","90087"
"004 - WARD FOUR","0004","70102","","","","90088"
"501 - SOUTH RIVER","0501","70092","","","","90089"
"093 - NEWTOWN","0093","70129","","","","90090"
"504 - OAK LEVEL","0504","70046","","","","90091"
"103 - PLANK ROAD","0103","70077","","","","90092"
"502 - SPRING GROVE","0502","70086","","","","90093"
"401 - COURTHOUSE","0401","70048","","","","90094"
"409 - MANCHESTER","0409","70018","","","","90095"
"201 - BACONS CASTLE","0201","70086","","","","90096"
"415 - SKIPWITH","0415","70045","","","","90097"
"502 - BLUE RIDGE","0502","70021","","","","90098"
"204 - MADISON","0204","70028","","","","90099"
"203 - MOUNTAIN VIEW","0203","70076","","","","90100"
"501 - MADISON","0501","70004","","","","90101"
"314 - MCLEAN","0314","70028","","","","90102"
"102 - BASSETTE","0102","70109","","","","90103"
"507 - GREENWAY","0507","70059","","","","90104"
"201 - CONICVILLE","0201","70081","","","","90105"
"302 - STONEWALL","0302","70005","","","","90106"
"402 - SWORDS CREEK","0402","70079","","","","90107"
"505 - BROCK","0505","70084","","","","90108"
"203 - GEORGETOWN","0203","70001","","","","90109"
"302 - POWHATAN B","0302","70049","","","","90110"
"037 - NOTTINGHAM","0037","70006","","","","90111"
"503 - WOOLWINE","0503","70067","","","","90112"
"417 - BETWEEN THE HILLS","0417","70059","","","","90113"
"101 - BELLWOOD","0101","70018","","","","90114"
"501 - STEPHENS CITY","0501","70033","","","","90115"
"101 - BRENTSVILLE","0101","70072","","","","90116"
"201 - JAMESTOWN A","0201","70049","","","","90117"
"501 - REEDY CREEK","0501","70055","","","","90118"
"501 - HUGUENOT","0501","70018","","","","90119"
"845 - FOUNTAINHEAD","0845","70028","","","","90120"
"501 - OAKVILLE","0501","70005","","","","90121"
"103 - PRECINCT A-3","0103","70062","","","","90122"
"306 - WINTERPOCK","0306","70018","","","","90123"
"303 - ST LUKE","0303","70081","","","","90124"
