"precinct_split_id","electoral_district_id"
"100000","60032"
"100000","60056"
"100000","60067"
"100001","60026"
"100001","60056"
"100001","60127"
"100002","60056"
"100002","60130"
"100002","60143"
"100003","60014"
"100003","60056"
"100003","60067"
"100004","60056"
"100004","60121"
"100005","60056"
"100005","60130"
"100006","60044"
"100006","60056"
"100007","60014"
"100007","60056"
"100008","60056"
"100008","60121"
"100009","60038"
"100009","60056"
"100010","60056"
"100010","60110"
"100011","60056"
"100011","60067"
"100012","60021"
"100012","60045"
"100012","60056"
"100012","60130"
"100013","60056"
"100013","60079"
"100013","60130"
"100014","60032"
"100014","60056"
"100014","60067"
"100014","60122"
"100015","60056"
"100015","60110"
"100015","60126"
"100016","60056"
"100016","60067"
"100017","60056"
"100017","60110"
"100018","60056"
"100018","60067"
"100019","60056"
"100019","60067"
"100019","60145"
"100020","60056"
"100020","60068"
"100020","60110"
"100021","60014"
"100021","60056"
"100022","60038"
"100022","60056"
"100023","60056"
"100023","60121"
"100024","60038"
"100024","60056"
"100025","60014"
"100025","60056"
"100025","60102"
"100026","60056"
"100026","60133"
"100027","60056"
"100027","60067"
"100027","60111"
"100028","60056"
"100028","60121"
"100029","60056"
"100029","60074"
"100030","60056"
"100030","60067"
"100031","60056"
"100031","60067"
"100032","60026"
"100032","60056"
"100033","60056"
"100033","60130"
"100033","60143"
"100034","60038"
"100034","60056"
"100034","60074"
"100035","60026"
"100035","60056"
"100035","60099"
"100036","60056"
"100036","60067"
"100037","60044"
"100037","60056"
"100038","60056"
"100038","60121"
"100039","60056"
"100039","60073"
"100039","60110"
"100040","60026"
"100040","60056"
"100041","60056"
"100041","60067"
"100041","60086"
"100042","60056"
"100042","60067"
"100042","60086"
"100043","60038"
"100043","60056"
"100044","60056"
"100044","60095"
"100044","60130"
"100045","60056"
"100045","60121"
"100046","60056"
"100046","60067"
"100046","60130"
"100047","60056"
"100047","60121"
"100048","60056"
"100048","60130"
"100048","60143"
"100049","60026"
"100049","60056"
"100049","60099"
"100050","60056"
"100050","60110"
"100051","60026"
"100051","60056"
"100052","60038"
"100052","60056"
"100053","60026"
"100053","60044"
"100053","60056"
"100054","60026"
"100054","60044"
"100054","60056"
"100055","60056"
"100055","60121"
"100056","60014"
"100056","60056"
"100056","60128"
"100057","60056"
"100057","60097"
"100057","60110"
"100057","60133"
"100058","60056"
"100058","60121"
"100058","60138"
"100059","60056"
"100059","60133"
"100060","60056"
"100060","60073"
"100060","60110"
"100061","60026"
"100061","60056"
"100062","60056"
"100062","60130"
"100062","60143"
"100063","60056"
"100063","60110"
"100064","60056"
"100064","60088"
"100064","60130"
"100065","60056"
"100065","60074"
"100065","60113"
"100066","60014"
"100066","60056"
"100067","60056"
"100067","60110"
"100068","60056"
"100068","60133"
"100069","60014"
"100069","60056"
"100069","60128"
"100070","60014"
"100070","60056"
"100071","60056"
"100071","60133"
"100072","60056"
"100072","60110"
"100072","60146"
"100073","60056"
"100073","60103"
"100073","60133"
"100074","60038"
"100074","60056"
"100074","60067"
"100075","60056"
"100075","60085"
"100075","60133"
"100076","60056"
"100076","60067"
"100077","60044"
"100077","60056"
"100078","60056"
"100078","60133"
"100079","60056"
"100079","60133"
"100080","60056"
"100080","60133"
"100081","60038"
"100081","60056"
"100081","60074"
"100082","60026"
"100082","60056"
"100082","60099"
"100083","60056"
"100083","60130"
"100084","60056"
"100084","60110"
"100085","60056"
"100085","60121"
"100086","60056"
"100086","60121"
"100087","60056"
"100087","60110"
"100087","60133"
"100088","60038"
"100088","60056"
"100088","60067"
"100089","60056"
"100089","60121"
"100090","60056"
"100090","60133"
"100091","60056"
"100091","60130"
"100091","60137"
"100091","60143"
"100092","60056"
"100092","60067"
"100092","60117"
"100093","60056"
"100093","60121"
"100094","60044"
"100094","60056"
"100094","60132"
"100095","60056"
"100095","60067"
"100096","60056"
"100096","60067"
"100096","60086"
"100097","60032"
"100097","60056"
"100097","60067"
"100098","60026"
"100098","60056"
"100098","60099"
"100099","60023"
"100099","60056"
"100099","60067"
"100099","60110"
"100100","60056"
"100100","60110"
"100101","60056"
"100101","60130"
"100102","60056"
"100102","60110"
"100103","60056"
"100103","60130"
"100104","60044"
"100104","60056"
"100104","60132"
"100104","60143"
"100105","60056"
"100105","60079"
"100105","60130"
"100106","60056"
"100106","60121"
"100107","60044"
"100107","60056"
"100108","60000"
"100108","60056"
"100108","60067"
"100109","60056"
"100109","60110"
"100110","60056"
"100110","60074"
"100110","60138"
"100111","60056"
"100111","60130"
"100112","60056"
"100112","60067"
"100113","60044"
"100113","60056"
"100113","60132"
"100113","60143"
"100114","60056"
"100114","60110"
"100115","60056"
"100115","60130"
"100116","60014"
"100116","60056"
"100117","60056"
"100117","60138"
"100118","60056"
"100118","60107"
"100118","60121"
"100119","60056"
"100119","60067"
"100120","60056"
"100120","60067"
"100121","60038"
"100121","60056"
"100122","60056"
"100122","60067"
"100123","60044"
"100123","60056"
"100124","60056"
"100124","60067"
"100124","60117"
"100125","60038"
"100125","60056"
"100125","60138"
"100126","60056"
"100126","60074"
"100126","60138"
"100127","60056"
"100127","60110"
"100128","60056"
"100128","60074"
"100128","60113"
"100129","60056"
"100129","60110"
"100130","60056"
"100130","60138"
"100131","60026"
"100131","60056"
"100131","60099"
"100132","60010"
"100132","60038"
"100132","60056"
"100133","60026"
"100133","60056"
"100134","60014"
"100134","60056"
"100135","60056"
"100135","60067"
"100136","60038"
"100136","60056"
"100137","60056"
"100137","60130"
"100137","60143"
"100138","60056"
"100138","60110"
"100139","60044"
"100139","60056"
"100140","60056"
"100140","60074"
"100140","60113"
"100141","60056"
"100141","60130"
"100142","60056"
"100142","60110"
"100143","60056"
"100143","60121"
"100144","60005"
"100144","60056"
"100144","60067"
"100144","60117"
"100145","60056"
"100145","60110"
"100146","60056"
"100146","60067"
"100147","60056"
"100147","60079"
"100147","60130"
"100148","60056"
"100148","60121"
"100149","60056"
"100149","60138"
"100150","60032"
"100150","60056"
"100150","60067"
"100151","60038"
"100151","60056"
"100151","60138"
"100152","60014"
"100152","60056"
"100152","60091"
"100153","60056"
"100153","60074"
"100153","60113"
"100154","60056"
"100154","60130"
"100155","60056"
"100155","60110"
"100156","60044"
"100156","60056"
"100157","60056"
"100157","60110"
"100158","60031"
"100158","60056"
"100158","60130"
"100159","60056"
"100159","60067"
"100160","60056"
"100160","60133"
"100161","60038"
"100161","60056"
"100161","60138"
"100162","60056"
"100162","60110"
"100163","60056"
"100163","60110"
"100164","60044"
"100164","60056"
"100165","60056"
"100165","60073"
"100165","60110"
"100166","60056"
"100166","60067"
"100167","60056"
"100167","60074"
"100168","60056"
"100168","60067"
"100168","60121"
"100169","60056"
"100169","60123"
"100169","60133"
"100170","60056"
"100170","60110"
"100171","60038"
"100171","60056"
"100172","60014"
"100172","60056"
"100172","60091"
"100173","60002"
"100173","60056"
"100173","60130"
"100174","60056"
"100174","60074"
"100174","60113"
"100175","60014"
"100175","60056"
"100176","60053"
"100176","60056"
"100176","60130"
"100177","60056"
"100177","60068"
"100177","60110"
"100178","60056"
"100178","60121"
"100179","60044"
"100179","60056"
"100179","60098"
"100180","60014"
"100180","60056"
"100181","60056"
"100181","60133"
"100182","60056"
"100182","60121"
"100183","60056"
"100183","60131"
"100183","60133"
"100184","60056"
"100184","60121"
"100185","60056"
"100185","60130"
"100186","60056"
"100186","60133"
"100187","60056"
"100187","60074"
"100187","60113"
"100188","60044"
"100188","60056"
"100188","60098"
"100189","60056"
"100189","60110"
"100190","60056"
"100190","60110"
"100191","60056"
"100191","60130"
"100192","60014"
"100192","60056"
"100193","60056"
"100193","60121"
"100194","60056"
"100194","60133"
"100195","60056"
"100195","60067"
"100196","60056"
"100196","60110"
"100197","60026"
"100197","60056"
"100198","60056"
"100198","60067"
"100198","60117"
"100199","60056"
"100199","60067"
"100200","60056"
"100200","60121"
"100200","60138"
"100201","60056"
"100201","60130"
"100202","60056"
"100202","60074"
"100203","60044"
"100203","60056"
"100203","60132"
"100204","60056"
"100204","60067"
"100205","60056"
"100205","60130"
"100206","60056"
"100206","60110"
"100207","60056"
"100207","60067"
"100208","60056"
"100208","60121"
"100209","60056"
"100209","60128"
"100209","60130"
"100210","60021"
"100210","60056"
"100210","60130"
"100211","60056"
"100211","60074"
"100211","60138"
"100212","60056"
"100212","60110"
"100213","60026"
"100213","60056"
"100213","60099"
"100214","60044"
"100214","60056"
"100215","60014"
"100215","60056"
"100215","60128"
"100216","60056"
"100216","60133"
"100217","60056"
"100217","60074"
"100217","60113"
"100218","60056"
"100218","60067"
"100218","60117"
"100219","60056"
"100219","60110"
"100220","60056"
"100220","60133"
"100221","60056"
"100221","60067"
"100221","60117"
"100222","60056"
"100222","60133"
"100223","60056"
"100223","60110"
"100224","60056"
"100224","60110"
"100225","60056"
"100225","60130"
"100226","60056"
"100226","60133"
"100227","60014"
"100227","60056"
"100227","60133"
"100227","60139"
"100228","60044"
"100228","60056"
"100229","60056"
"100229","60133"
"100230","60014"
"100230","60056"
"100231","60056"
"100231","60138"
"100232","60044"
"100232","60056"
"100232","60132"
"100232","60143"
"100233","60056"
"100233","60133"
"100234","60026"
"100234","60056"
"100234","60099"
"100235","60056"
"100235","60110"
"100236","60056"
"100236","60110"
"100237","60056"
"100237","60121"
"100237","60138"
"100238","60056"
"100238","60074"
"100238","60113"
"100239","60044"
"100239","60056"
"100240","60056"
"100240","60110"
"100241","60044"
"100241","60056"
"100242","60038"
"100242","60056"
"100243","60034"
"100243","60038"
"100243","60056"
"100244","60014"
"100244","60056"
"100245","60014"
"100245","60056"
"100246","60044"
"100246","60056"
"100246","60132"
"100247","60056"
"100247","60074"
"100248","60056"
"100248","60130"
"100249","60056"
"100249","60079"
"100249","60130"
"100250","60056"
"100250","60110"
"100251","60013"
"100251","60038"
"100251","60056"
"100252","60056"
"100252","60121"
"100253","60056"
"100253","60131"
"100253","60133"
"100254","60056"
"100254","60074"
"100254","60138"
"100255","60056"
"100255","60138"
"100256","60038"
"100256","60056"
"100256","60067"
"100257","60056"
"100257","60130"
"100258","60038"
"100258","60056"
"100259","60056"
"100259","60133"
"100260","60056"
"100260","60138"
"100261","60056"
"100261","60133"
"100262","60056"
"100262","60138"
"100263","60056"
"100263","60130"
"100264","60056"
"100264","60079"
"100264","60130"
"100265","60056"
"100265","60074"
"100265","60138"
"100266","60056"
"100266","60074"
"100266","60113"
"100267","60026"
"100267","60056"
"100268","60026"
"100268","60056"
